Customer ID,Time with Company (in Months),Contract Type,Internet Service Provider,Total Charges,Predicted Churn,Risk Level,Predicted Probability
5349-AZPEW,5,Month-to-month,DSL,125.5,Yes,3_High,0.7117336358472881
9644-UMGQA,6,Month-to-month,DSL,295.65,Yes,2_Medium,0.6225644752725974
9350-VLHMB,67,Month-to-month,Fiber optic,6373.1,Yes,2_Medium,0.5130205967722894
9677-AVKED,53,One year,DSL,4449.75,No,1_Low,0.2117763062742036
3043-TYBNO,3,Month-to-month,DSL,196.9,Yes,2_Medium,0.518868858821027
7975-TZMLR,47,One year,Fiber optic,4889.3,Yes,2_Medium,0.6528856091782737
5642-MHDQT,53,One year,No,1039.45,No,1_Low,0.0117775979275263
7696-AMHOD,49,One year,DSL,3824.2,No,1_Low,0.15485105506372907
3756-VNWDH,65,One year,Fiber optic,6674.65,Yes,2_Medium,0.6057148686076129
4018-PPNDW,61,Two year,No,1551.6,No,1_Low,0.004205056167040872
4124-MMETB,22,Month-to-month,Fiber optic,2104.55,Yes,3_High,0.8470943761198697
5909-ECHUI,1,Month-to-month,DSL,56.25,Yes,3_High,0.8009857880440365
8982-NHAVY,27,One year,Fiber optic,2673.45,Yes,2_Medium,0.6918110201515262
2023-VQFDL,18,Month-to-month,No,348.8,No,1_Low,0.23654139142530656
7402-PWYJJ,53,One year,Fiber optic,4862.5,Yes,2_Medium,0.44107602230151766
0774-RMNUW,71,Two year,DSL,4122.65,No,1_Low,0.007591817024740468
9658-WYUFB,17,Month-to-month,Fiber optic,1617.5,Yes,3_High,0.761713665176938
1298-PHBTI,71,Two year,Fiber optic,6152.4,No,1_Low,0.09403202761558967
3230-WYKIR,18,One year,DSL,1425.45,No,1_Low,0.3951030820902867
6169-PGNCD,57,Two year,DSL,4166.35,No,1_Low,0.014529059793811064
9555-SAHUZ,38,Month-to-month,DSL,2076.05,No,1_Low,0.15910375453554182
1101-SSWAG,15,Month-to-month,DSL,711.15,Yes,2_Medium,0.6634074328648274
9305-CDSKC,8,Month-to-month,Fiber optic,820.5,Yes,3_High,0.9033193061709859
0193-ESZXP,58,One year,Fiber optic,6205.5,No,1_Low,0.28818212935580667
4080-OGPJL,8,Month-to-month,DSL,563.65,Yes,2_Medium,0.48980310377759423
6265-SXWBU,69,One year,Fiber optic,6511.25,No,1_Low,0.29934547057247435
5986-WWXDV,39,One year,No,779.2,No,1_Low,0.026851647983552055
5947-SGKCL,15,Month-to-month,Fiber optic,1559.25,Yes,3_High,0.790996845379871
0078-XZMHT,72,Two year,DSL,6316.2,No,1_Low,0.03433157423728213
9306-CPCBC,3,Month-to-month,Fiber optic,210.3,Yes,3_High,0.8902501000256754
8049-WJCLQ,10,Month-to-month,DSL,563.5,Yes,2_Medium,0.5736512743965451
9540-JYROE,8,Month-to-month,Fiber optic,551.35,Yes,3_High,0.7874505882080065
0708-LGSMF,13,Month-to-month,DSL,902.25,Yes,2_Medium,0.6350311473890754
3902-MIVLE,63,Two year,DSL,4676.7,No,1_Low,0.01616830393565959
0093-XWZFY,40,Month-to-month,Fiber optic,4036.85,Yes,3_High,0.710413692536154
7016-BPGEU,29,Month-to-month,DSL,712.85,No,1_Low,0.38032059714487704
0491-KAPQG,21,Month-to-month,Fiber optic,1558.7,Yes,3_High,0.8135091484674828
9778-OGKQZ,72,Two year,DSL,6782.15,No,1_Low,0.030050173320800944
9571-EDEBV,71,One year,Fiber optic,6962.85,Yes,2_Medium,0.4665265278159474
0723-VSOBE,45,One year,DSL,1596.6,No,1_Low,0.19115946460262673
2720-FVBQP,6,Month-to-month,DSL,273.25,Yes,2_Medium,0.6994855359522211
2135-DQWAQ,5,Month-to-month,Fiber optic,420.45,Yes,3_High,0.7903351429231085
3850-OKINF,71,One year,DSL,4692.55,No,1_Low,0.10037844562811211
8413-VONUO,2,Month-to-month,Fiber optic,167.3,Yes,3_High,0.8425109081292246
5206-XZZQI,53,Month-to-month,Fiber optic,4348.1,No,1_Low,0.27594435118890703
3585-YNADK,57,One year,DSL,4368.95,No,1_Low,0.06074785925563418
4565-EVZMJ,47,One year,DSL,2813.05,No,1_Low,0.03517255222938379
9848-JQJTX,72,Two year,Fiber optic,7459.05,No,1_Low,0.21526826906805804
8467-WYNSR,22,Month-to-month,DSL,1253.15,No,1_Low,0.18449222701318896
8313-NDOIA,24,Month-to-month,Fiber optic,2494.65,Yes,3_High,0.8323911212213817
0268-QKIWO,3,Month-to-month,No,58.85,Yes,2_Medium,0.47057299530523555
